message_id,signal_name,start_byte,start_bit,bit_length,byte_order,is_signed,scale,offset,pdu_id
0x100,EngineSpeed_rpm,0,0,16,Intel,false,0.125,0.0,
0x100,EngineTemp_degC,2,0,8,Intel,true,1.0,-40.0,
0x100,EngineLoad_pct,3,0,8,Intel,false,0.4,0.0,
0x200,VehicleSpeed_kmh,0,0,16,Intel,false,0.01,0.0,
0x200,WheelSpeed_FL_kmh,2,0,16,Intel,false,0.01,0.0,
0x200,WheelSpeed_FR_kmh,4,0,16,Intel,false,0.01,0.0,
0x200,WheelSpeed_RL_kmh,6,0,16,Intel,false,0.01,0.0,
0x300,ThrottlePos_pct,0,0,8,Intel,false,0.4,0.0,
0x300,AccelPedal_pct,1,0,8,Intel,false,0.4,0.0,
0x300,BrakePressure_bar,2,0,12,Motorola,false,0.1,0.0,
0x400,SteeringAngle_deg,0,0,16,Intel,true,0.1,0.0,
0x400,YawRate_degps,2,0,16,Intel,true,0.01,0.0,
0x400,LateralAccel_mps2,4,0,12,Intel,true,0.01,0.0,
0x500,BattVoltage_V,0,0,16,Intel,false,0.001,0.0,
0x500,BattCurrent_A,2,0,16,Intel,true,0.1,0.0,
0x500,BattSoC_pct,4,0,8,Intel,false,0.4,0.0,
0x64,ambient_temp,0,0,8,Intel,true,1.0,-40.0,
0x64,odometer,1,0,24,Intel,false,0.1,0.0,
0x64,ignition_status,4,0,2,Intel,false,1.0,0.0,
0x600,Radar_Distance_m,0,0,16,Intel,false,0.01,0.0,0x01
0x600,Radar_RelSpeed_mps,2,0,16,Intel,true,0.01,0.0,0x01
0x600,Radar_Confidence_pct,4,0,8,Intel,false,1.0,0.0,0x01
0x600,CabinTemp_degC,0,0,8,Intel,true,0.5,-40.0,0x02
0x600,FanSpeed_pct,1,0,8,Intel,false,0.4,0.0,0x02
0x600,AcRequest,2,0,1,Intel,false,1.0,0.0,0x02
